threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.7203389830508474,1.0,0.8374384236453203,0.7317073170731707
0.1111111111111111,0.7567567567567568,0.9882352941176471,0.8571428571428572,0.7723577235772358
0.16666666666666666,0.7706422018348624,0.9882352941176471,0.865979381443299,0.7886178861788617
0.2222222222222222,0.7685185185185185,0.9764705882352941,0.8601036269430051,0.7804878048780488
0.2777777777777778,0.7685185185185185,0.9764705882352941,0.8601036269430051,0.7804878048780488
0.3333333333333333,0.7685185185185185,0.9764705882352941,0.8601036269430051,0.7804878048780488
0.38888888888888884,0.7663551401869159,0.9647058823529412,0.8541666666666666,0.7723577235772358
0.4444444444444444,0.7714285714285715,0.9529411764705882,0.8526315789473684,0.7723577235772358
0.5,0.78,0.9176470588235294,0.8432432432432432,0.7642276422764228
0.5555555555555556,0.7901234567901234,0.7529411764705882,0.7710843373493975,0.6910569105691057
0.611111111111111,0.8059701492537313,0.6352941176470588,0.7105263157894737,0.6422764227642277
0.6666666666666666,0.8163265306122449,0.47058823529411764,0.5970149253731343,0.5609756097560976
0.7222222222222222,0.8620689655172413,0.29411764705882354,0.4385964912280702,0.4796747967479675
0.7777777777777777,1.0,0.10588235294117647,0.19148936170212766,0.3821138211382114
0.8333333333333333,1.0,0.011764705882352941,0.023255813953488372,0.3170731707317073
0.8888888888888888,0.0,0.0,0.0,0.3089430894308943
0.9444444444444444,0.0,0.0,0.0,0.3089430894308943
1.0,0.0,0.0,0.0,0.3089430894308943
