threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6949152542372882,0.9647058823529412,0.8078817733990148,0.6829268292682927
0.1111111111111111,0.7068965517241379,0.9647058823529412,0.8159203980099502,0.6991869918699187
0.16666666666666666,0.7068965517241379,0.9647058823529412,0.8159203980099502,0.6991869918699187
0.2222222222222222,0.7043478260869566,0.9529411764705882,0.8099999999999999,0.6910569105691057
0.2777777777777778,0.7017543859649122,0.9411764705882353,0.8040201005025126,0.6829268292682927
0.3333333333333333,0.7079646017699115,0.9411764705882353,0.8080808080808081,0.6910569105691057
0.38888888888888884,0.7142857142857143,0.9411764705882353,0.8121827411167514,0.6991869918699187
0.4444444444444444,0.7142857142857143,0.9411764705882353,0.8121827411167514,0.6991869918699187
0.5,0.7142857142857143,0.9411764705882353,0.8121827411167514,0.6991869918699187
0.5555555555555556,0.7142857142857143,0.9411764705882353,0.8121827411167514,0.6991869918699187
0.611111111111111,0.7142857142857143,0.9411764705882353,0.8121827411167514,0.6991869918699187
0.6666666666666666,0.7142857142857143,0.9411764705882353,0.8121827411167514,0.6991869918699187
0.7222222222222222,0.7117117117117117,0.9294117647058824,0.8061224489795918,0.6910569105691057
0.7777777777777777,0.7129629629629629,0.9058823529411765,0.7979274611398964,0.6829268292682927
0.8333333333333333,0.7047619047619048,0.8705882352941177,0.7789473684210526,0.6585365853658537
0.8888888888888888,0.7058823529411765,0.8470588235294118,0.770053475935829,0.6504065040650406
0.9444444444444444,0.6938775510204082,0.8,0.7431693989071038,0.6178861788617886
1.0,0.7333333333333333,0.6470588235294118,0.6875,0.5934959349593496
