threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.16666666666666666,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2222222222222222,0.7203389830508474,1.0,0.8374384236453203,0.7317073170731707
0.2777777777777778,0.7522123893805309,1.0,0.8585858585858585,0.7723577235772358
0.3333333333333333,0.8018867924528302,1.0,0.8900523560209425,0.8292682926829268
0.38888888888888884,0.8252427184466019,1.0,0.9042553191489361,0.8536585365853658
0.4444444444444444,0.8252427184466019,1.0,0.9042553191489361,0.8536585365853658
0.5,0.8181818181818182,0.9529411764705882,0.8804347826086957,0.8211382113821138
0.5555555555555556,0.8351648351648352,0.8941176470588236,0.8636363636363636,0.8048780487804879
0.611111111111111,0.8452380952380952,0.8352941176470589,0.8402366863905326,0.7804878048780488
0.6666666666666666,0.864406779661017,0.6,0.7083333333333334,0.6585365853658537
0.7222222222222222,0.868421052631579,0.38823529411764707,0.5365853658536586,0.5365853658536586
0.7777777777777777,1.0,0.011764705882352941,0.023255813953488372,0.3170731707317073
0.8333333333333333,0.0,0.0,0.0,0.3089430894308943
0.8888888888888888,0.0,0.0,0.0,0.3089430894308943
0.9444444444444444,0.0,0.0,0.0,0.3089430894308943
1.0,0.0,0.0,0.0,0.3089430894308943
