threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.16666666666666666,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2222222222222222,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2777777777777778,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.3333333333333333,0.6859504132231405,0.9764705882352941,0.8058252427184467,0.6747967479674797
0.38888888888888884,0.6859504132231405,0.9764705882352941,0.8058252427184467,0.6747967479674797
0.4444444444444444,0.6974789915966386,0.9764705882352941,0.8137254901960784,0.6910569105691057
0.5,0.6956521739130435,0.9411764705882353,0.7999999999999999,0.6747967479674797
0.5555555555555556,0.719626168224299,0.9058823529411765,0.8020833333333333,0.6910569105691057
0.611111111111111,0.7029702970297029,0.8352941176470589,0.7634408602150539,0.6422764227642277
0.6666666666666666,0.6933333333333334,0.611764705882353,0.65,0.5447154471544715
0.7222222222222222,0.7692307692307693,0.35294117647058826,0.48387096774193555,0.4796747967479675
0.7777777777777777,0.9523809523809523,0.23529411764705882,0.3773584905660377,0.4634146341463415
0.8333333333333333,1.0,0.10588235294117647,0.19148936170212766,0.3821138211382114
0.8888888888888888,0.0,0.0,0.0,0.3089430894308943
0.9444444444444444,0.0,0.0,0.0,0.3089430894308943
1.0,0.0,0.0,0.0,0.3089430894308943
